Day_GC,O2_mmol_hr,CH4_mmol_hr,Day_OD,CDW_g,Formate_umolar
,,,0.00,0.009,45
,,,0.18,0.022,
,,,0.45,0.075,
,,,0.98,0.271,
,,,1.20,0.274,100
,,,1.45,0.260,
,,,1.70,0.267,
,,,2.20,0.276,
,,,2.85,0.274,
,,,3.16,0.288,120
,,,3.97,0.305,
,,,4.10,0.281,
,,,4.87,0.285,160
,,,5.17,0.283,
,,,5.79,0.216,
