Day_GC,O2_mmol_hr,CH4_mmol_hr,Day_OD,CDW_g,Formate_umolar
0.0,0.026122519,-0.119232037,0.204861111,0.014,
0.0,-2.187652378,3.947901699,1.067361111,0.0455,
0.0,-2.228909677,3.95966223,1.922916667,0.14,40
0.0,-2.247386103,3.946718923,3.294444444,0.2835,
0.0,-2.248034179,3.909189605,3.98125,0.4025,75
0.1,-2.230201157,3.85332011,4.200694444,0.42,
0.1,-2.20141461,3.782947899,5.021527778,0.315,
0.1,-2.161476457,3.69825157,5.282638889,0.2905,63
0.1,-2.11616271,3.605633772,5.953472222,0.252,
0.1,-2.063334383,3.502903564,6.269444444,0.245,
0.1,-2.007478557,3.398217845,6.918055556,0.245,120
0.1,-1.944377882,3.285088483,7.446527778,0.238,
0.1,-1.879026082,3.174142074,7.958333333,0.2275,
0.1,-1.80884688,3.062886108,,,
0.2,-1.736459453,2.950902558,,,
0.2,-1.666140755,2.840403474,,,
0.2,-1.593060774,2.729842992,,,
0.2,-1.523270275,2.620278986,,,
0.2,-1.453249625,2.516574113,,,
0.2,-1.382812977,2.413898153,,,
0.2,-1.322551387,2.313791351,,,
0.2,-1.248796754,2.219065049,,,
0.2,-1.18396418,2.126240468,,,
0.3,-1.119007271,2.041131001,,,
0.3,-1.059775556,1.952525458,,,
0.3,-0.999536772,1.87265596,,,
0.3,-0.942136933,1.793423901,,,
0.3,-0.88837198,1.715701214,,,
0.3,-0.833893941,1.646479043,,,
0.3,-0.789059303,1.578061478,,,
0.3,-0.732082885,1.51577827,,,
0.4,-0.685385282,1.454605033,,,
0.4,-0.63956128,1.398101314,,,
0.4,-0.595836779,1.340818295,,,
0.4,-0.554209111,1.289249873,,,
0.4,-0.512864918,1.238549899,,,
0.4,-0.476189103,1.196271505,,,
0.4,-0.44012968,1.149812169,,,
0.4,-0.403165215,1.11419056,,,
0.4,-0.371847667,1.070667799,,,
0.5,-0.340042806,1.033843057,,,
0.5,-0.3084445,1.000459408,,,
0.5,-0.279501951,0.967546002,,,
0.5,-0.251418581,0.935700376,,,
0.5,-0.22240636,0.911474233,,,
0.5,-0.197222689,0.884734993,,,
0.5,-0.173380107,0.859933334,,,
0.5,-0.143262322,0.837153635,,,
0.5,-0.127403407,0.816873783,,,
0.6,-0.105793651,0.794703823,,,
0.6,-0.084569117,0.777943795,,,
0.6,-0.065117532,0.758781657,,,
0.6,-0.046522441,0.741703352,,,
0.6,-0.02688234,0.728461096,,,
0.6,-0.007790865,0.716081238,,,
0.6,0.007111221,0.702576414,,,
0.6,0.024925666,0.693126613,,,
0.6,0.039468135,0.679861272,,,
0.7,0.054691661,0.668872476,,,
0.7,0.069696238,0.661674512,,,
0.7,0.08350392,0.653447412,,,
0.7,0.096591629,0.64302166,,,
0.7,0.111184735,0.638829405,,,
0.7,0.122980858,0.628520681,,,
0.7,0.136630614,0.627309024,,,
0.7,0.152194615,0.622524497,,,
0.7,0.161554228,0.624161715,,,
0.8,0.173165491,0.614924455,,,
0.8,0.184626661,0.610619278,,,
0.8,0.19578181,0.609242557,,,
0.8,0.20732485,0.606349923,,,
0.8,0.217886285,0.60757636,,,
0.8,0.228766061,0.604629105,,,
0.8,0.238866751,0.603410018,,,
0.8,0.2500871,0.602758019,,,
